keyword,activity_id,canonical_url,author,author_url,company_url,headline,date_relative,category,audience,relevance_1to5,verdict,comment_type,one_line_context,observed_at
Angebot Sondermaschinenbau,7478326756005953537,https://www.linkedin.com/feed/update/urn:li:activity:7478326756005953537/,Raphael C. Juda,https://www.linkedin.com/in/raphael-juda/,https://www.linkedin.com/company/projekt-fortschritt/,#1 Ansprechpartner Auftragsabwicklung Sondermaschinen-/Anlagenbau,1 Woche(n),software_cpq_consulting,machinery_engineering,4,PRIMARY,question,"6 Elemente einer funktionierenden Auftragsabwicklung; Element 1 = fehlerfreie Auftragsklärung bis Design Freeze; End-to-End statt Silos",2026-07-12
technischer Vertrieb Maschinenbau,7478380519525810176,https://www.linkedin.com/feed/update/urn:li:activity:7478380519525810176/,VisuPal,https://www.linkedin.com/in/klaus-stetter-50723961/,https://www.linkedin.com/company/visupal/,VisuPal (Vertriebssoftware) — Bericht VDI Arbeitskreis Technischer Vertrieb,1 Woche(n),software_cpq_consulting,sales_technical,4,PRIMARY,disagreement,"KI im Vertrieb / Account-Based Selling für Maschinenbau beim VDI-Arbeitskreis",2026-07-12
Anlagenbau,7481954251955580928,https://www.linkedin.com/feed/update/urn:li:activity:7481954251955580928/,Dr.-Ing. Andreas Klippe,https://www.linkedin.com/in/dr-andreas-klippe-the-flood-expert/,,hilft bei erklärungsbedürftigen Produkten (technischer Vertrieb),11 Std.,software_cpq_consulting,sales_technical,3,RESERVE,observation,"Rabattschlachten im technischen Vertrieb; Praxisleitfaden/Newsletter; 30 Jahre Erfahrung",2026-07-12
Verpackungsmaschine,7477277195418300416,https://www.linkedin.com/feed/update/urn:li:activity:7477277195418300416/,Johannes Maurer,https://www.linkedin.com/in/johannesmaurer/,,Gründer ENABLE PROGRESS | Systems Engineering, Functional Safety, CRA,1 Woche(n),software_cpq_consulting,machinery_engineering,3,RESERVE,observation,"Wir bauen Maschinen, das IT-Zeugs interessiert uns nicht; CRA-Scoping digitaler Elemente einer Verpackungsmaschine",2026-07-12
Verpackungsmaschine,7478054703453605891,https://www.linkedin.com/feed/update/urn:li:activity:7478054703453605891/,Andreas Dittrich,https://www.linkedin.com/in/andreas-dittrich-630b71ba/,,CEO adivision GmbH | Maschinenoptimierung | Sondermaschinen | Verpackungsmaschinen,1 Woche(n),software_cpq_consulting,machinery_engineering,2,RESERVE,question,"Was einen wertvollen Automatisierer/Sondermaschinenbauer ausmacht (Liebe zum Detail, Positionierung)",2026-07-12
Anlagenbau,7482068107084247041,https://www.linkedin.com/feed/update/urn:li:activity:7482068107084247041/,juergen grewe,https://www.linkedin.com/in/juergen-grewe-407b45332/,,Anlagenplanung (Kraftwerk/Biomasse); CAD → Digitaler Zwilling,4 Std.,machine_builder,machinery_engineering,2,RESERVE,question,"Vom CAD-Modell zum Digitalen Zwilling; Navisworks-Koordinationsmodell behält Metadaten",2026-07-12
Sondermaschinenbau,7481573918198231040,https://www.linkedin.com/feed/update/urn:li:activity:7481573918198231040/,Sebastian Halbritter,https://www.linkedin.com/in/sebastian-halbritter-7a217926/,https://www.linkedin.com/company/mobilitylogistics/,Cluster Mobility & Logistics — Besuch bei Sonplas (Sondermaschinenbau),1 Tag(e),media_assoc,machinery_automation,3,RESERVE,observation,"Cluster-vor-Ort-Event bei Sonplas GmbH (Automotive/Battery Sondermaschinen)",2026-07-12
Sondermaschinenbau,7481638839971770368,https://www.linkedin.com/feed/update/urn:li:activity:7481638839971770368/,Jascha Rohmann,https://www.linkedin.com/in/jascha-rohmann/,,CEO @ Synatics | modular industrial production | Robotics & Automation,1 Tag(e),machine_builder,machinery_automation,3,RESERVE,observation,"10 Menschen, 45+ Anlagen, 15 Jahre ohne Investor; Roboterzellen VW/Bosch/Siemens; sucht strategischen Partner (Fundraising)",2026-07-12
Angebot Sondermaschinenbau,7477798402768949248,https://www.linkedin.com/feed/update/urn:li:activity:7477798402768949248/,Christian Sojka,https://www.linkedin.com/in/christian-sojka-b4928517b/,https://www.linkedin.com/company/united-automation-hub/,CEO United Automation Hub | Full-Service Partner for Machine Builders,1 Woche(n),software_cpq_consulting,machinery_automation,2,RESERVE,observation,"Maschinenbauer kämpfen um Sichtbarkeit; digitale Sichtbarkeit schwach; UAH Connect als Lösung (Marketingpitch)",2026-07-12
Sondermaschinenbau,,,Thomas Meyer-Dethlefs,https://www.linkedin.com/in/tmd-consult/,,GF Elektroschmiede GmbH | Retrofit | Fractional COO,2 Tag(e),software_cpq_consulting,machinery_engineering,3,BACKLOG_no_id,observation,"Eine Sonderlösung ist eine eingefrorene Entscheidung (activity id not captured; refetch before use)",2026-07-12
Angebot Sondermaschinenbau,,,Dimitri Kapetzke,https://www.linkedin.com/in/dimitri-kapetzke/,,Gründer MillStep | CNC-Fräs- & Sondermaschinen (Made in Germany),3 Woche(n),machine_builder,machinery_engineering,3,BACKLOG_no_id,observation,"Nicht immer müssen es Sondermaschinen sein... (activity id not captured; refetch before use)",2026-07-12
Sondermaschinenbau,7480636912853155840,https://www.linkedin.com/feed/update/urn:li:activity:7480636912853155840/,Sandra Hau,https://www.linkedin.com/in/sandra-hau-a341b5130/,https://www.linkedin.com/company/hb-partners-gmbh/,Geschäftsführerin & Personalberaterin,4 Tag(e),recruiting,job_seekers,1,REJECT,none,"Stellenanzeige Mechatroniker (m/w/d) — recruiting, falsche Audience",2026-07-12
Sondermaschinenbau,,,Sara Zimny,https://www.linkedin.com/in/sara-zimny-684474382/,https://www.linkedin.com/company/gevernova/,Senior Recruiter GE Vernova,2 Tag(e),recruiting,job_seekers,1,REJECT,none,"Stellenanzeige (bold-unicode m/w/d) — recruiting",2026-07-12
Anlagenbau,,,Waseem Ahmed,https://www.linkedin.com/in/waseem-ahmed-605197294/,,SEO / link building specialist,50 Min.,offtopic,none,1,REJECT,none,"SEO spam — off-topic",2026-07-12
technischer Vertrieb Maschinenbau,7481294324593410048,https://www.linkedin.com/feed/update/urn:li:activity:7481294324593410048/,Gernot Schandl,https://www.linkedin.com/in/gernot-schandl-52818311a/,https://www.linkedin.com/company/moll-motor-mechatronische-antriebstechnik-gmbh/,Geschäftsführer (Sales) MOLL-MOTOR,2 Tag(e),ICP_person,machinery_engineering,1,REJECT,none,"Mitarbeiter-Gratulation zum Studienabschluss — off-theme (HR)",2026-07-12
Anlagenbau,7481968669405687808,https://www.linkedin.com/feed/update/urn:li:activity:7481968669405687808/,Henning Dück,https://www.linkedin.com/in/henningdueck/,https://www.linkedin.com/company/nachwuchsstiftung-maschinenbau/,Sales & Service Excellence | Interim Executive,10 Std.,software_cpq_consulting,machinery_engineering,2,REJECT,none,"Ruhestands-Würdigung (Nachwuchsstiftung Maschinenbau/VDMA) — persönliche Hommage, kein Kommentarziel",2026-07-12
